iter	Passed	Remaining
0	0	929
1	1	885
2	2	879
3	3	858
4	4	852
5	5	842
6	5	837
7	6	833
8	7	811
9	8	804
10	8	803
11	9	804
12	10	793
13	11	800
14	12	797
15	12	796
16	13	780
17	14	781
18	15	782
19	15	782
20	16	766
21	17	768
22	18	769
23	18	761
24	19	763
25	20	762
26	21	759
27	21	757
28	22	756
29	23	763
30	24	767
31	25	773
32	26	776
33	27	771
34	27	770
35	28	765
36	29	766
37	30	760
38	30	760
39	31	759
40	32	758
41	33	758
42	34	758
43	34	754
44	35	756
45	36	759
46	37	760
47	38	761
48	39	761
49	39	758
50	40	757
51	41	758
52	42	757
53	42	752
54	43	751
55	44	749
56	45	749
57	46	748
58	46	748
59	47	749
60	48	749
61	49	746
62	50	746
63	51	750
64	52	753
65	53	750
66	53	751
67	54	752
68	55	751
69	56	751
70	57	750
71	58	749
72	58	748
73	59	749
74	60	749
75	61	751
76	62	752
77	63	752
78	64	752
79	65	751
80	66	751
81	67	750
82	67	749
83	68	748
84	69	747
85	70	747
86	71	747
87	72	747
88	73	747
89	73	747
90	74	746
91	75	747
92	76	748
93	77	750
94	78	747
95	79	747
96	80	746
97	80	743
98	81	742
99	82	742
100	82	738
101	83	737
102	84	736
103	85	736
104	86	735
105	86	733
106	87	733
107	88	734
108	89	734
109	90	733
110	91	730
111	92	729
112	92	728
113	93	727
114	94	726
115	95	726
116	95	723
117	96	721
118	97	720
119	98	720
120	99	719
121	99	719
122	100	719
123	101	720
124	102	720
125	103	720
126	104	720
127	105	719
128	106	717
129	107	716
130	107	715
131	108	715
132	109	714
133	110	712
134	110	711
135	111	710
136	112	710
137	113	709
138	114	709
139	115	708
140	116	707
141	117	707
142	118	707
143	118	705
144	119	705
145	120	703
146	120	701
147	121	701
148	122	700
149	123	697
150	123	697
151	124	696
152	125	695
153	126	694
154	127	694
155	128	692
156	128	692
157	129	691
158	130	690
159	131	689
160	132	688
161	133	688
162	133	687
163	134	687
164	135	686
165	136	685
166	137	685
167	138	684
168	139	683
169	140	683
170	140	682
171	141	682
172	142	681
173	143	681
174	144	680
175	145	679
176	145	678
177	146	678
178	147	677
179	148	676
180	149	675
181	150	675
182	151	674
183	151	673
184	152	673
185	153	672
186	154	671
187	155	669
188	155	669
189	156	668
190	157	667
191	158	666
192	159	666
193	160	665
194	160	663
195	161	663
196	162	661
197	163	660
198	164	660
199	164	659
200	165	659
201	166	657
202	167	656
203	167	654
204	168	653
205	169	652
206	170	652
207	171	651
208	172	651
209	172	650
210	173	649
211	174	648
212	175	648
213	176	647
214	177	646
215	178	646
216	178	645
217	179	644
218	180	644
219	181	643
220	182	642
221	183	642
222	184	642
223	185	641
224	186	640
225	186	640
226	187	639
227	188	639
228	189	638
229	190	637
230	191	637
231	192	636
232	193	635
233	193	635
234	194	634
235	195	632
236	196	632
237	197	631
238	198	631
239	199	630
240	199	628
241	200	627
242	201	626
243	202	626
244	203	625
245	203	624
246	204	623
247	205	623
248	206	622
249	207	621
250	208	620
251	208	620
252	209	619
253	210	618
254	211	618
255	212	617
256	213	616
257	214	615
258	215	615
259	215	614
260	216	613
261	217	613
262	218	612
263	219	611
264	220	610
265	220	609
266	221	608
267	222	607
268	223	607
269	224	606
270	224	605
271	225	603
272	226	603
273	227	602
274	228	601
275	228	600
276	229	598
277	230	598
278	231	597
279	231	596
280	232	595
281	233	594
282	234	594
283	235	593
284	236	592
285	237	592
286	238	591
287	238	590
288	239	589
289	240	588
290	241	587
291	242	587
292	242	586
293	243	585
294	244	584
295	245	583
296	246	582
297	247	582
298	247	581
299	248	579
300	249	578
301	250	578
302	250	576
303	251	576
304	252	575
305	253	574
306	254	573
307	254	572
308	255	571
309	256	570
310	257	570
311	258	569
312	259	568
313	259	567
314	260	567
315	261	566
316	262	565
317	263	564
318	264	563
319	265	563
320	265	562
321	266	561
322	267	560
323	268	559
324	269	559
325	270	558
326	271	557
327	271	556
328	272	556
329	273	554
330	274	554
331	274	552
332	275	552
333	276	550
334	276	549
335	277	548
336	278	547
337	279	546
338	280	545
339	280	544
340	281	543
341	282	542
342	283	542
343	283	541
344	284	540
345	285	539
346	286	538
347	287	538
348	287	537
349	288	535
350	289	534
351	290	534
352	291	533
353	291	532
354	292	532
355	293	531
356	294	530
357	295	529
358	296	529
359	297	528
360	298	527
361	298	526
362	299	526
363	300	525
364	301	524
365	302	524
366	303	523
367	304	522
368	304	521
369	305	520
370	306	519
371	307	519
372	308	518
373	309	517
374	310	516
375	310	515
376	311	515
377	312	514
378	313	513
379	314	513
380	315	511
381	315	511
382	316	510
383	317	509
384	318	508
385	319	508
386	320	507
387	321	506
388	322	505
389	322	505
390	323	504
391	324	503
392	325	502
393	326	501
394	326	500
395	327	499
396	328	499
397	329	498
398	330	497
399	330	496
400	331	495
401	332	494
402	333	493
403	334	492
404	334	492
405	335	491
406	336	490
407	337	489
408	338	488
409	339	488
410	339	486
411	340	486
412	341	485
413	342	484
414	343	483
415	343	482
416	344	481
417	345	480
418	346	479
419	347	479
420	347	478
421	348	477
422	349	476
423	350	475
424	350	474
425	351	473
426	352	473
427	353	471
428	354	471
429	354	470
430	355	469
431	356	469
432	357	468
433	358	467
434	359	466
435	360	465
436	361	465
437	361	464
438	362	463
439	363	462
440	364	462
441	365	461
442	366	460
443	367	459
444	368	459
445	368	458
446	369	457
447	370	456
448	371	455
449	371	454
450	372	453
451	373	452
452	374	451
453	375	451
454	375	450
455	376	449
456	377	448
457	378	447
458	379	446
459	380	446
460	380	445
461	381	444
462	382	443
463	383	442
464	384	441
465	384	441
466	385	439
467	386	439
468	387	438
469	388	437
470	388	436
471	389	435
472	390	434
473	391	434
474	392	433
475	392	432
476	393	431
477	394	430
478	395	429
479	396	429
480	396	428
481	397	427
482	398	426
483	399	425
484	399	424
485	400	423
486	401	423
487	402	422
488	403	421
489	404	420
490	404	419
491	405	418
492	406	417
493	407	417
494	407	416
495	408	415
496	409	414
497	410	413
498	410	412
499	411	411
500	412	410
501	413	410
502	414	409
503	414	408
504	415	407
505	416	406
506	417	405
507	418	404
508	418	404
509	419	403
510	420	402
511	420	401
512	421	400
513	422	399
514	423	398
515	424	397
516	425	397
517	425	396
518	426	395
519	427	394
520	428	393
521	429	393
522	430	392
523	430	391
524	431	390
525	432	389
526	433	388
527	434	388
528	434	387
529	435	386
530	436	385
531	437	384
532	438	384
533	439	383
534	439	382
535	440	381
536	441	380
537	442	380
538	443	379
539	444	378
540	445	377
541	445	376
542	446	375
543	447	374
544	448	374
545	449	373
546	449	372
547	450	371
548	451	370
549	452	370
550	453	369
551	453	368
552	454	367
553	455	366
554	456	365
555	457	365
556	457	364
557	458	363
558	459	362
559	460	361
560	461	360
561	462	360
562	462	359
563	463	358
564	464	357
565	464	356
566	465	355
567	466	354
568	467	354
569	468	353
570	468	352
571	469	351
572	470	350
573	470	349
574	471	348
575	472	347
576	473	346
577	474	346
578	474	345
579	475	344
580	476	343
581	477	342
582	478	341
583	478	341
584	479	340
585	480	339
586	481	338
587	482	337
588	483	337
589	483	336
590	484	335
591	485	334
592	486	333
593	487	333
594	487	332
595	488	331
596	489	330
597	490	329
598	491	328
599	492	328
600	492	327
601	493	326
602	494	325
603	495	324
604	496	323
605	497	323
606	497	322
607	498	321
608	499	320
609	500	319
610	501	319
611	501	318
612	502	317
613	503	316
614	504	315
615	504	314
616	505	313
